1859.958,-2.09,-0.27,-1.18,-1.98
1860.042,-0.08,0.03,-0.02,-0.12
1860.125,-1.56,-0.64,-1.1,-1.5
1860.208,-2.12,-0.52,-1.32,-2.02
1860.292,-0.82,-0.62,-0.72,-0.82
1860.375,-0.48,-0.83,-0.66,-0.5
1860.458,-0.21,-0.31,-0.26,-0.26
1860.542,-0.52,-0.46,-0.49,-0.56
1860.625,-0.47,-0.19,-0.33,-0.51
1860.708,-0.57,-0.66,-0.61,-0.59
1860.792,-0.75,-0.24,-0.49,-0.75
1860.875,-1.87,-0.63,-1.25,-1.78
1860.958,-2.41,-0.34,-1.37,-2.29
1861.042,-2.59,-0.64,-1.61,-2.47
1861.125,0.12,-0.44,-0.16,0.07
1861.208,-0.41,0.03,-0.18,-0.43
1861.292,-1.43,-0.02,-0.73,-1.39
1861.375,-1.55,-0.82,-1.18,-1.49
1861.458,-0.15,-0.09,-0.12,-0.2
1861.542,-0.4,-0.94,-0.67,-0.45
1861.625,-0.23,-0.91,-0.57,-0.28
1861.708,-0.84,-0.39,-0.61,-0.84
1861.792,-0.69,-0.45,-0.57,-0.69
1861.875,-0.86,-1.02,-0.94,-0.87
1861.958,-0.37,-0.88,-0.63,-0.41
1862.042,-1.93,-0.59,-1.26,-1.87
1862.125,-2.18,-0.88,-1.53,-2.11
1862.208,-1.26,0.07,-0.59,-1.24
1862.292,-0.52,-0.81,-0.66,-0.56
1862.375,-0.52,-0.63,-0.57,-0.54
1862.458,-1.03,-0.28,-0.65,-1.03
1862.542,-0.81,-0.98,-0.9,-0.84
1862.625,-0.96,-1.49,-1.23,-0.96
1862.708,-0.65,-0.86,-0.75,-0.67
1862.792,-0.8,-1.15,-0.97,-0.8
1862.875,-1.86,-0.48,-1.17,-1.78
1862.958,-1.53,-0.79,-1.16,-1.47
1863.042,1.72,-0.8,0.46,1.57
1863.125,0.46,-0.8,-0.17,0.38
1863.208,-0.6,-1.09,-0.85,-0.62
1863.292,-0.58,-0.87,-0.72,-0.6
1863.375,-0.23,-1.2,-0.71,-0.28
1863.458,-0.73,-0.86,-0.79,-0.74
1863.542,-0.7,-0.95,-0.82,-0.74
1863.625,-0.43,-1.4,-0.92,-0.46
1863.708,-0.59,-1.67,-1.13,-0.6
1863.792,-0.99,-1.12,-1.05,-0.97
1863.875,-0.48,-1.43,-0.96,-0.51
1863.958,-0.52,-0.94,-0.73,-0.53
1864.042,-1.97,-1.32,-1.64,-1.9
1864.125,-0.68,-1.5,-1.09,-0.69
1864.208,-0.82,-0.99,-0.9,-0.82
1864.292,-1.31,-0.64,-0.97,-1.28
1864.375,-1.12,-0.54,-0.83,-1.1
1864.458,-0.17,-0.63,-0.4,-0.24
1864.542,-0.37,-0.59,-0.48,-0.42
1864.625,-0.81,-1.22,-1.01,-0.82
1864.708,-0.85,-0.26,-0.55,-0.84
1864.792,-2.14,-0.88,-1.51,-2.05
1864.875,-2.09,-0.48,-1.29,-2
1864.958,-2.01,-0.53,-1.27,-1.93
1865.042,-0.24,-1.16,-0.7,-0.27
1865.125,-2.12,-0.76,-1.44,-2.03
1865.208,-2.3,-0.44,-1.37,-2.19
1865.292,-0.43,-0.19,-0.31,-0.46
