1987:Q1, 7.5
1987:Q2, 5.3
1987:Q3, 6.0
1987:Q4, 7.1
1988:Q1, 6.8
1988:Q2, 7.0
1988:Q3, 7.0
1988:Q4, 6.8
1989:Q1, 7.4
1989:Q2, 6.6
1989:Q3, 6.2
1989:Q4, 6.4
1990:Q1, 6.4
1990:Q2, 6.7
1990:Q3, 6.4
1990:Q4, 6.5
1991:Q1, 7.0
1991:Q2, 7.0
1991:Q3, 6.8
1991:Q4, 7.4
1992:Q1, 7.4
1992:Q2, 7.6
1992:Q3, 7.0
1992:Q4, 7.4
1993:Q1, 5.6
1993:Q2, 6.2
1993:Q3, 5.4
1993:Q4, 6.0
1994:Q1, 4.6
1994:Q2, 5.4
1994:Q3, 5.3
1994:Q4, 5.6
1995:Q1, 6.1
1995:Q2, 5.2
1995:Q3, 5.0
1995:Q4, 4.8
1996:Q1, 4.9
1996:Q2, 4.8
1996:Q3, 5.0
1996:Q4, 4.7
1997:Q1, 4.6
1997:Q2, 4.9
1997:Q3, 4.4
1997:Q4, 4.6
1998:Q1, 5.8
1998:Q2, 5.5
1998:Q3, 5.2
1998:Q4, 4.5
1999:Q1, 4.3
1999:Q2, 3.0
1999:Q3, 2.4
1999:Q4, 2.6
2000:Q1, 3.1
2000:Q2, 3.1
2000:Q3, 3.1
2000:Q4, 2.4
2001:Q1, 2.8
2001:Q2, 2.1
2001:Q3, 4.2
2001:Q4, 1.6
2002:Q1, 4.0
2002:Q2, 4.0
2002:Q3, 3.1
2002:Q4, 3.1
2003:Q1, 3.1
2003:Q2, 3.5
2003:Q3, 3.6
2003:Q4, 3.6
2004:Q1, 3.2
2004:Q2, 3.6
2004:Q3, 3.3
2004:Q4, 3.6
2005:Q1, 1.6
2005:Q2, 1.3
2005:Q3, 1.2
2005:Q4, 1.5
2006:Q1, 2.2
2006:Q2, 2.5
2006:Q3, 2.3
2006:Q4, 2.5
2007:Q1, 2.3
2007:Q2, 2.0
2007:Q3, 1.8
2007:Q4, 2.1
2008:Q1, 2.7
2008:Q2, 4.8
2008:Q3, 3.6
2008:Q4, 5.2
2009:Q1, 5.4
2009:Q2, 7.2
2009:Q3, 5.6
2009:Q4, 5.5
2010:Q1, 5.5
2010:Q2, 6.2
2010:Q3, 6.0
2010:Q4, 5.4
