2004, 3.53, 2.71
2005, 0.59, 1.47
2006, 4.59, 4.78
2007, 1.51, 1.61
2008, 1.01, -2.07
2009, 0.44, -4.67
2010:H1, 3.43, 2.30
2010:H2, 1.18, 2.09
